timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-08-06,13.0,14.08,12.99,14.0,13.5391080227,10678500,0.0,1.0
2010-08-09,14.0,14.0,13.7,14.0,13.5391080227,1819500,0.0,1.0
2010-08-10,13.77,13.84,13.58,13.6,13.1522763649,1579300,0.0,1.0
2010-08-11,13.25,13.38,12.45,12.75,12.3302590921,2588200,0.0,1.0
2010-08-12,12.26,12.51,12.1,12.39,11.9821106,1780300,0.0,1.0
2010-08-13,12.25,12.53,11.85,12.0,11.6049497337,957600,0.0,1.0
2010-08-16,11.79,12.23,11.69,11.78,11.3921923219,551600,0.0,1.0
2010-08-17,11.86,12.3,11.75,12.22,11.8177071455,1086700,0.0,1.0
2010-08-18,12.08,12.6,12.0,12.0,11.6049497337,1010600,0.0,1.0
2010-08-19,11.95,12.1,11.3104,11.55,11.1697641187,746000,0.0,1.0
2010-08-20,11.45,11.5,11.03,11.15,10.7829324609,450600,0.0,1.0
2010-08-23,11.28,11.5,10.46,10.98,10.6185290063,761800,0.0,1.0
2010-08-24,10.76,11.3,10.5,10.68,10.328405263,746700,0.0,1.0
2010-08-25,10.5,11.13,10.23,10.75,10.3961008031,1112200,0.0,1.0
2010-08-26,10.94,11.15,10.8,11.0,10.6378705892,581400,0.0,1.0
2010-08-27,11.15,11.49,10.99,11.11,10.7442492951,370900,0.0,1.0
2010-08-30,11.01,11.27,11.01,11.095,10.729743108,226900,0.0,1.0
2010-08-31,11.01,11.23,10.87,11.075,10.7104015251,236000,0.0,1.0
2010-09-01,11.08,11.95,10.76,11.73,11.3438383647,412800,0.0,1.0
2010-09-02,11.08,11.91,11.08,11.87,11.4792294449,98500,0.0,1.0
2010-09-03,11.9,12.32,11.58,11.89,11.4985710278,231400,0.0,1.0
2010-09-07,12.0,12.36,11.78,12.03,11.633962108,468400,0.0,1.0
2010-09-08,11.49,12.18,11.42,12.16,11.7596823968,1483700,0.0,1.0
2010-09-09,12.21,12.625,11.51,11.9,11.5082418193,235600,0.0,1.0
2010-09-10,11.98,12.125,11.81,11.98,11.5856081508,362900,0.0,1.0
2010-09-13,12.09,12.24,11.8401,11.94,11.546924985,303900,0.0,1.0
2010-09-14,11.85,12.25,11.85,12.24,11.8370487284,250600,0.0,1.0
2010-09-15,12.52,12.92,12.3501,12.47,12.0594769316,561100,0.0,1.0
2010-09-16,12.46,12.64,12.01,12.02,11.6242913166,323300,0.0,1.0
2010-09-17,12.01,12.25,11.82,12.08,11.6823160653,252300,0.0,1.0
2010-09-20,12.21,12.97,12.1,12.69,12.2722343434,404100,0.0,1.0
2010-09-21,12.61,12.85,12.36,12.51,12.0981600974,178800,0.0,1.0
2010-09-22,12.4,12.6,12.01,12.18,11.7790239797,184600,0.0,1.0
2010-09-23,12.0,12.49,11.89,12.0,11.6049497337,320800,0.0,1.0
2010-09-24,12.1,12.37,11.82,12.22,11.8177071455,146900,0.0,1.0
2010-09-27,12.17,12.39,12.02,12.25,11.8467195198,186600,0.0,1.0
2010-09-28,12.21,12.62,12.11,12.61,12.1948680118,168800,0.0,1.0
2010-09-29,12.63,12.88,12.49,12.55,12.1368432632,238500,0.0,1.0
2010-09-30,12.62,12.95,12.26,12.39,11.9821106,196800,0.0,1.0
2010-10-01,12.47,12.77,12.26,12.36,11.9530982257,170500,0.0,1.0
2010-10-04,12.38,12.7099,12.25,12.35,11.9434274343,140700,0.0,1.0
2010-10-05,12.43,12.69,12.22,12.35,11.9434274343,256900,0.0,1.0
2010-10-06,12.32,12.49,12.13,12.47,12.0594769316,90400,0.0,1.0
2010-10-07,12.5,12.5,11.61,11.85,11.459887862,252800,0.0,1.0
2010-10-08,11.8,12.11,11.72,11.98,11.5856081508,251900,0.0,1.0
2010-10-11,11.95,12.15,11.91,12.05,11.6533036909,63700,0.0,1.0
2010-10-12,12.01,12.3,11.9118,12.3,11.895073477,59600,0.0,1.0
2010-10-13,12.31,12.33,12.02,12.07,11.6726452738,222000,0.0,1.0
2010-10-14,12.07,12.23,12.0,12.15,11.7500116054,223700,0.0,1.0
2010-10-15,12.35,12.35,11.855,11.94,11.546924985,396200,0.0,1.0
2010-10-18,11.96,12.29,11.65,12.24,11.8370487284,53500,0.0,1.0
2010-10-19,12.06,12.25,12.01,12.11,11.7113284396,130100,0.0,1.0
2010-10-20,12.17,12.45,11.52,12.2,11.7983655626,124800,0.0,1.0
2010-10-21,12.11,12.4,12.11,12.25,11.8467195198,58800,0.0,1.0
2010-10-22,12.2,12.61,12.18,12.33,11.9240858514,94200,0.0,1.0
2010-10-25,12.201,12.59,12.201,12.37,11.9627690172,128300,0.0,1.0
2010-10-26,12.25,12.49,11.91,12.28,11.8757318942,186100,0.0,1.0
2010-10-27,12.28,12.8,12.28,12.77,12.3496006749,263800,0.0,1.0
2010-10-28,12.82,13.35,12.6,13.19,12.7557739156,409900,0.0,1.0
2010-10-29,13.16,13.47,12.88,13.19,12.7557739156,434600,0.0,1.0
2010-11-01,13.27,13.5,12.56,12.69,12.2722343434,432100,0.0,1.0
2010-11-02,12.9,13.43,12.47,13.27,12.8331402472,300900,0.0,1.0
2010-11-03,13.21,13.8,13.11,13.6356,13.1867043824,359900,0.0,1.0
2010-11-04,13.74,14.0,13.5304,13.97,13.5100956483,274600,0.0,1.0
2010-11-05,13.9,14.0,13.64,13.97,13.5100956483,175600,0.0,1.0
2010-11-08,14.0,14.0,13.61,13.77,13.3166798194,179900,0.0,1.0
2010-11-09,13.72,13.95,13.2,13.63,13.1812887392,269800,0.0,1.0
2010-11-10,13.6,13.73,13.05,13.32,12.8814942044,172300,0.0,1.0
2010-11-11,13.2,13.2,12.58,12.855,12.4318024022,317200,0.0,1.0
2010-11-12,12.69,13.08,12.64,12.82,12.3979546322,115700,0.0,1.0
2010-11-15,12.9,13.14,12.78,12.98,12.5526872953,51800,0.0,1.0
2010-11-16,12.73,13.265,12.63,12.84,12.4172962151,206500,0.0,1.0
2010-11-17,12.8,12.9,12.76,12.8,12.3786130493,67600,0.0,1.0
2010-11-18,13.0,13.0,12.61,12.9,12.4753209637,118700,0.0,1.0
2010-11-19,12.89,12.9,12.7,12.9,12.4753209637,74300,0.0,1.0
2010-11-22,12.85,13.32,12.84,12.99,12.5623580867,117700,0.0,1.0
2010-11-23,12.8,12.9,12.7,12.8,12.3786130493,440000,0.0,1.0
2010-11-24,12.88,12.93,12.5,12.66,12.2432219691,250000,0.0,1.0
2010-11-26,12.56,12.93,12.56,12.83,12.4076254236,348500,0.0,1.0
2010-11-29,12.81,13.11,12.6,12.73,12.3109175092,270100,0.0,1.0
2010-11-30,12.6,12.8358,12.31,12.58,12.1658556375,288700,0.0,1.0
2010-12-01,12.74,13.46,12.6,13.26,12.8234694557,682100,0.0,1.0
2010-12-02,13.35,14.0,13.16,13.98,13.5197664398,273800,0.0,1.0
2010-12-03,13.98,17.28,13.78,16.14,15.6086573918,948600,0.0,1.0
2010-12-06,16.0,16.39,15.41,15.94,15.4152415629,489300,0.0,1.0
2010-12-07,16.0,16.43,15.733,16.37,15.8310855951,600800,0.0,1.0
2010-12-08,16.8,18.8,16.8,18.44,17.8329394241,1371000,0.0,1.0
2010-12-09,18.78,20.43,18.78,19.13,18.5002240338,1187500,0.0,1.0
2010-12-10,19.2,20.2,18.41,19.95,19.2932289323,457800,0.0,1.0
2010-12-13,20.0,20.0,18.55,18.86,18.2391126648,432800,0.0,1.0
2010-12-14,18.9,19.375,18.28,18.73,18.113392376,689900,0.0,1.0
2010-12-15,18.7,19.0001,18.09,18.33,17.7265607182,437000,0.0,1.0
2010-12-16,18.42,18.67,18.19,18.44,17.8329394241,447800,0.0,1.0
2010-12-17,18.51,18.68,18.0,18.11,17.5138033064,371100,0.0,1.0
2010-12-20,18.16,19.3,18.05,18.6,17.9876720872,446700,0.0,1.0
2010-12-21,18.86,20.0,18.6,19.25,18.6162735311,584100,0.0,1.0
2010-12-22,19.71,21.569,19.71,20.25,19.5833526756,1489000,0.0,1.0
2010-12-23,20.2,20.2,19.58,20.09,19.4286200125,466000,0.0,1.0
2010-12-27,20.0,20.28,19.7,20.2,19.5349987184,98500,0.0,1.0
2010-12-28,20.46,20.81,20.0,20.29,19.6220358414,137300,0.0,1.0
2010-12-29,20.62,20.71,20.41,20.71,20.0282090821,139000,0.0,1.0
2010-12-30,20.73,20.88,20.62,20.7,20.0185382906,76800,0.0,1.0
2010-12-31,20.6,21.1,20.42,20.93,20.2409664939,94400,0.0,1.0
2011-01-03,21.2,21.52,20.64,21.43,20.7245060661,256100,0.0,1.0
2011-01-04,21.9,22.75,21.17,22.01,21.2854119699,952100,0.0,1.0
2011-01-05,21.87,23.6,21.68,23.38,22.6103103978,846400,0.0,1.0
2011-01-06,23.73,23.8,22.76,23.24,22.4749193176,453100,0.0,1.0
2011-01-07,23.33,23.33,22.68,22.92,22.1654539914,300900,0.0,1.0
2011-01-10,22.75,23.61,22.7,23.42,22.6489935636,254100,0.0,1.0
2011-01-11,23.82,24.07,23.63,24.0,23.2098994674,278200,0.0,1.0
2011-01-12,24.5,24.58,23.28,23.6,22.8230678096,303000,0.0,1.0
2011-01-13,23.86,23.86,22.99,23.33,22.5619564406,250500,0.0,1.0
2011-01-14,23.33,23.43,22.851,23.39,22.6199811893,183200,0.0,1.0
2011-01-18,23.32,23.69,23.28,23.58,22.8037262267,290500,0.0,1.0
2011-01-19,23.6,23.79,22.52,22.96,22.2041371571,416400,0.0,1.0
2011-01-20,22.75,22.75,21.49,21.67,20.9566050608,745900,0.0,1.0
2011-01-21,22.15,22.93,21.64,21.97,21.2467288041,678800,0.0,1.0
2011-01-24,22.06,22.76,22.0,22.65,21.9043426224,486900,0.0,1.0
2011-01-25,22.65,26.18,22.65,24.28,23.4806816279,1725100,0.0,1.0
2011-01-26,24.71,26.46,24.0,25.99,25.1343869649,1558000,0.0,1.0
2011-01-27,26.36,26.84,25.5,26.08,25.2214240879,719400,0.0,1.0
2011-01-28,26.0,26.05,24.25,24.57,23.7611345798,1013900,0.0,1.0
2011-01-31,24.81,25.8399,24.61,25.74,24.8926171788,668400,0.0,1.0
2011-02-01,26.48,27.37,25.82,27.23,26.3335651041,875000,0.0,1.0
2011-02-02,27.48,27.63,26.03,27.19,26.2948819383,624700,0.0,1.0
2011-02-03,27.75,28.25,26.99,27.2,26.3045527297,487300,0.0,1.0
2011-02-04,27.54,27.579,27.1,27.35,26.4496146014,182800,0.0,1.0
2011-02-07,26.93,27.1,26.15,26.31,25.4438522911,1620600,0.0,1.0
2011-02-08,26.42,26.645,26.12,26.38,25.5115478313,707600,0.0,1.0
2011-02-09,26.3,26.97,25.81,26.54,25.6662804944,349600,0.0,1.0
2011-02-10,27.06,27.2,25.9,26.165,25.3036258152,585400,0.0,1.0
2011-02-11,26.11,26.62,25.2,25.27,24.4380899809,1321800,0.0,1.0
2011-02-14,25.95,25.95,25.0,25.44,24.6024934354,1661400,0.0,1.0
2011-02-15,24.72,26.19,24.2,25.01,24.1866494033,1819600,0.0,1.0
2011-02-16,25.47,27.8,25.41,26.93,26.0434413607,3625200,0.0,1.0
2011-02-17,27.3,27.65,26.7,27.31,26.4109314356,1294100,0.0,1.0
2011-02-18,27.62,30.74,27.41,29.2975,28.3330012353,2766000,0.0,1.0
2011-02-22,28.88,31.78,28.3,29.45,28.4804808048,2040900,0.0,1.0
2011-02-23,29.9,30.0873,27.81,28.41,27.4747184945,1330900,0.0,1.0
2011-02-24,28.37,29.29,28.1,29.12,28.1613446871,901800,0.0,1.0
2011-02-25,29.54,30.81,29.35,30.55,29.5442678637,1150600,0.0,1.0
2011-02-28,31.45,32.36,30.5,31.95,30.898178666,2340300,0.0,1.0
2011-03-01,32.11,33.87,29.83,29.98,28.9930327514,2069000,0.0,1.0
2011-03-02,30.0,30.707,29.01,29.25,28.2870649759,1435900,0.0,1.0
2011-03-03,30.54,31.69,29.47,31.17,30.1438569333,1790900,0.0,1.0
2011-03-04,31.5,31.77,30.39,30.75,29.7376836926,1226700,0.0,1.0
